legal_status,address,caretaker,date,dbh,plot_size,latitude,longitude,species_english,species_latin,year,Native,Family
DPW Maintained,2056 Grove St,Private,10/08/1972,20,3x3,37.77441061,-122.4504652,Eucalyptus,Eucalyptus Spp,1972,Exotic,Eucalyptus
DPW Maintained,363 San Benito Way,Private,10/08/1972,14,Width 3ft,37.72982406,-122.4673491,Brazilian Pepper,Schinus terebinthifolius,1972,Exotic,Schinus
DPW Maintained,240 Clayton St,Private,10/08/1972,10,3x3,37.77286547,-122.4491248,Victorian Box,Pittosporum undulatum,1972,Exotic,Pittosporum
DPW Maintained,875 California St,Private,15/08/1972,18,3x3,37.79200008,-122.4087935,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1972,Exotic,Ficus
DPW Maintained,203 Carl St,Private,17/08/1972,12,Width 4ft,37.76529206,-122.4529344,Cherry Plum,Prunus cerasifera,1972,Exotic,Prunus
Permitted Site,1849 Hayes St,Private,17/08/1972,17,3x3,37.77376549,-122.4468603,Victorian Box,Pittosporum undulatum,1972,Exotic,Pittosporum
Planning Code 138.1 required,1531 44th Ave,Private,28/08/1972,15,6x3,37.75803779,-122.5036849,New Zealand Xmas Tree,Metrosideros excelsa,1972,Exotic,Metrosideros
DPW Maintained,646 16th Ave,Private,12/09/1972,13,3x3,37.77588741,-122.4746772,Shamel Ash: Evergreen Ash,Fraxinus uhdei,1972,CA Native,Fraxinus
DPW Maintained,4001 Balboa St,Private,12/09/1972,5,3x3,37.77542526,-122.5018305,New Zealand Xmas Tree,Metrosideros excelsa,1972,Exotic,Metrosideros
DPW Maintained,516 16th Ave,Private,12/09/1972,7,5x6,37.77824556,-122.4748488,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
DPW Maintained,540 Blanken Ave,Private,13/09/1972,14,4x3,37.71098623,-122.3966774,Glossy Privet,Ligustrum lucidum,1972,Exotic,Ligustrum
DPW Maintained,219 Clayton St,Private,14/09/1972,14,3x3,37.77319717,-122.4493437,Banyan Fig,Ficus retusa nitida,1972,Exotic,Ficus
DPW Maintained,1737 McKinnon Ave,Private,14/09/1972,14,3x3,37.73750121,-122.3922607,Victorian Box,Pittosporum undulatum,1972,Exotic,Pittosporum
Permitted Site,3938 24th St,Private,21/09/1972,6,3x3,37.75157209,-122.4305326,Victorian Box,Pittosporum undulatum,1972,Exotic,Pittosporum
DPW Maintained,1262 25th Ave,Private,18/10/1972,8,3x3,37.76399904,-122.4835278,Olive Tree,Olea europaea,1972,Exotic,Olea
DPW Maintained,1100 Goettingen St,Private,26/10/1972,8,9x3,37.71832618,-122.4030783,Olive Tree,Olea europaea,1972,Exotic,Olea
DPW Maintained,1108 Goettingen St,Private,26/10/1972,9,3x12,37.71825269,-122.4030507,Olive Tree,Olea europaea,1972,Exotic,Olea
DPW Maintained,601 Clement St,Private,22/11/1972,10,3x3,37.78281148,-122.465691,Chinese Elm,Ulmus parvifolia,1972,Exotic,Ulmus
DPW Maintained,1120 Goettingen St,Private,06/12/1972,14,3x3,37.71813352,-122.4029879,Chinese Banyan,Ficus microcarpa,1972,Exotic,Ficus
DPW Maintained,1132 Goettingen St,Private,06/12/1972,13,3x2,37.71798852,-122.4029352,Chinese Banyan,Ficus microcarpa,1972,Exotic,Ficus
DPW Maintained,217 Douglass St,Private,06/12/1972,8,Width 3ft,37.76013874,-122.439225,Red Maple,Acer rubrum,1972,Exotic,Acer
Permitted Site,1365 09th Ave,Private,04/01/1973,15,3x3,37.76283416,-122.4663167,New Zealand Xmas Tree,Metrosideros excelsa,1973,Exotic,Metrosideros
Permitted Site,199x PROSPECT AVE,Private,15/02/1973,15,5x9,37.74235389,-122.4192342,Brisbane Box,Lophostemon confertus,1973,Exotic,Lophostemon
DPW Maintained,15 Eugenia Ave,Private,23/02/1973,24,Width 4ft,37.74194959,-122.4213988,New Zealand Xmas Tree,Metrosideros excelsa,1973,Exotic,Metrosideros
Permitted Site,112 Eugenia Ave,Private,23/02/1973,14,3x3,37.74163193,-122.4208861,Red Flowering Gum,Corymbia ficifolia,1973,Exotic,Corymbia
DPW Maintained,1936 Irving St,Private,28/02/1973,8,3x3,37.76363506,-122.478991,Windmill Palm,Trachycarpus fortunei,1973,Exotic,Trachycarpus
Permitted Site,2289 15th St,Private,28/02/1973,13,3x3,37.76567316,-122.435186,Laurel Fig,Ficus nitida,1973,Exotic,Ficus
Permitted Site,295X Diamond St,Private,28/02/1973,6,3x3,37.75766531,-122.4362856,Ornamental Pear,Pyrus calleryana,1973,Exotic,Pyrus
Permitted Site,53 Walter St,Private,02/03/1973,12,6x7,37.76834493,-122.4322873,Fruitless Olive,Olea europaea 'Fruitless',1973,Exotic,Olea
Permitted Site,2150 15th St,Private,05/03/1973,30,4x4,37.76600753,-122.4320323,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1973,Exotic,Ficus
Permitted Site,2226 15th St,Private,05/03/1973,22,Width 3ft,37.7658877,-122.4339305,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1973,Exotic,Ficus
Permitted Site,2158 15th St,Private,05/03/1973,15,4x4,37.76599575,-122.4322262,Laurel Fig,Ficus nitida,1973,Exotic,Ficus
Permitted Site,2150 15th St,Private,05/03/1973,27,Width 3ft,37.76605663,-122.4322101,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1973,Exotic,Ficus
DPW Maintained,154 11th Ave,Private,09/03/1973,10,3x3,37.78540192,-122.4698904,Yew Pine,Podocarpus macrophyllus,1973,Exotic,Podocarpus
Permitted Site,106 Surrey St,Private,13/03/1973,8,3x3,37.73618418,-122.4345256,Sycamore: London Plane,Platanus x hispanica,1973,Exotic,Platanus
Permitted Site,106 Surrey St,Private,13/03/1973,14,3x3,37.73620553,-122.4345567,Sycamore: London Plane,Platanus x hispanica,1973,Exotic,Platanus
Permitted Site,8 Hill Point Ave,Private,20/03/1973,4,Width 3ft,37.76465755,-122.4557728,Evergreen Pear,Pyrus kawakamii,1973,Exotic,Pyrus
Permitted Site,261 Fair Oaks St,Private,25/04/1973,12,3x3,37.75254447,-122.423957,Sawleaf Zelkova,Zelkova serrata,1973,Exotic,Zelkova
Permitted Site,390 FRANCONIA ST,Private,16/05/1973,12,2x4,37.74374666553421,-122.4082352,Silver Maple,Acer saccharinum,1973,Exotic,Acer
Permitted Site,542 Moraga St,Private,17/05/1973,10,Width 3ft,37.75653473,-122.4686951,Mayten,Maytenus boaria,1973,Exotic,Maytenus
Permitted Site,530 Moraga St,Private,17/05/1973,3,3x3,37.75654227,-122.468277,Fruitless Olive,Olea europaea 'Fruitless',1973,Exotic,Olea
Permitted Site,59 Walter St,Private,06/06/1973,10,5x6,37.76824587,-122.4322778,Olive Tree,Olea europaea,1973,Exotic,Olea
Permitted Site,4129 18th St,Private,12/06/1973,9,3x3,37.76079832,-122.4353265,Weeping Bottlebrush,Callistemon viminalis,1973,Exotic,Callistemon
DPW Maintained,780 47th Ave,Private,25/06/1973,32,3x6,37.77377965,-122.5078416,New Zealand Xmas Tree,Metrosideros excelsa,1973,Exotic,Metrosideros
DPW Maintained,770 Carolina St,Private,02/07/1973,15,3x3,37.75884163,-122.4001632,Weeping Bottlebrush,Callistemon viminalis,1973,Exotic,Callistemon
DPW Maintained,575 16th Ave,Private,02/07/1973,6,3x3,37.77721434,-122.4749457,Lemon Bottlebrush,Callistemon citrinus,1973,Exotic,Callistemon
DPW Maintained,426 16th Ave,Private,02/07/1973,18,4x4,37.77992572,-122.4749682,Weeping Bottlebrush,Callistemon viminalis,1973,Exotic,Callistemon
Permitted Site,250 Randall St,Private,20/07/1973,12,3x3,37.7401987,-122.4287167,Glossy Privet,Ligustrum lucidum,1973,Exotic,Ligustrum
Permitted Site,259 Bartlett St,Private,20/07/1973,3,3x4,37.75283781,-122.4195289,Himalayan Magnolia,Magnolia doltsopa,1973,Exotic,Magnolia
DPW Maintained,171 09th Ave,Private,25/07/1973,14,3x3,37.7852158,-122.4678914,Brazilian Pepper,Schinus terebinthifolius,1973,Exotic,Schinus
DPW Maintained,28 Alma St,Private,25/07/1973,22,Width 4ft,37.76333921,-122.4485901,Myoporum,Myoporum laetum,1973,Exotic,Myoporum
Permitted Site,26 Alma St,Private,25/07/1973,3,7x6,37.76339333,-122.4484744,Myoporum,Myoporum laetum,1973,Exotic,Myoporum
Permitted Site,200 Grattan St,Private,31/07/1973,25,Width 3ft,37.76386322,-122.4513301,Pittosporum spp,Pittosporum spp,1973,Exotic,Pittosporum
Permitted Site,20 Liberty St,Private,31/07/1973,20,6x6,37.75774551,-122.421649,Shamel Ash: Evergreen Ash,Fraxinus uhdei,1973,CA Native,Fraxinus
DPW Maintained,236 Grattan St,Private,31/07/1973,23,Width 3ft,37.76382058,-122.4516988,Shamel Ash: Evergreen Ash,Fraxinus uhdei,1973,CA Native,Fraxinus
