tree_id,latitude,longitude,caretaker,species_latin,species_english,year,Native
94837,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94843,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94839,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94838,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94842,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94845,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94150,37.75781966,-122.4692379,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94734,37.77488685,-122.4691328,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
69106,37.75571851,-122.469043,Private,Tristaniopsis laurina 'Elegant',Small-leaf Tristania 'Elegant',2010,Exotic
66509,37.78590238,-122.4690125,Private,Crateagus spp,Hawthorn,2010,Exotic
69097,37.75732135,-122.4689734,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
94559,37.75729729,-122.4689034,Private,Magnolia grandiflora,Southern Magnolia,2010,Exotic
94698,37.78423973,-122.4688944,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
38829,37.78471467,-122.468338,Department of Public Works,Platanus x hispanica,Sycamore: London Plane,2010,Exotic
94145,37.75627557,-122.4680556,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94146,37.75613976,-122.4680461,Private,Callistemon viminalis,Weeping Bottlebrush,2010,Exotic
83385,37.75567722,-122.4679656,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
83322,37.75776227,-122.4679296,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94166,37.7545307,-122.4678917,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
83188,37.75715415,-122.4678877,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
83189,37.75704684,-122.4678803,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
94144,37.75705894,-122.4678124,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
79036,37.75238128,-122.4677038,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94147,37.75386656,-122.4675908,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
94954,37.73296977,-122.4675646,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
80277,37.75201026,-122.467495,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94819,37.75929513,-122.4671938,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
94006,37.75791474,-122.4670974,Private,Ginkgo biloba,Maidenhair Tree,2010,Exotic
93721,37.73865186,-122.467088,Private,Rhamnus alaternus,Italian Buckthorn,2010,Exotic
93722,37.73865186,-122.467088,Private,Rhamnus alaternus,Italian Buckthorn,2010,Exotic
62769,37.75833776,-122.4670785,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94141,37.75716021,-122.4670449,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94958,37.73284986,-122.4668331,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94143,37.75244838,-122.4667146,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94735,37.78317459,-122.4666676,Private,Olea europaea,Olive Tree,2010,Exotic
94714,37.78376037,-122.4665393,Private,Magnolia grandiflora,Southern Magnolia,2010,Exotic
94142,37.75377752,-122.4665073,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94715,37.77923389,-122.4664833,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94719,37.77923389,-122.4664833,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94718,37.77923389,-122.4664833,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94716,37.77923389,-122.4664833,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94717,37.77918635,-122.4663753,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
52648,37.77820066,-122.4661529,Private,Prunus blireiana,Flowering Plum,2010,Exotic
55390,37.76158685,-122.4660494,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
81333,37.75827755,-122.4659984,Private,Lagunaria patersonii,Primrose Tree,2010,Exotic
81524,37.75763436,-122.4659535,Private,Tilia cordata,Littleleaf Linden,2010,Exotic
63700,37.75972226,-122.4659191,Private,Pistacia chinensis,Chinese Pistache,2010,Exotic
89031,37.75962498,-122.4658638,Private,Pistacia chinensis,Chinese Pistache,2010,Exotic
79589,37.75570334,-122.4656399,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
94163,37.752022,-122.4656142,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94162,37.75563641,-122.465567,Private,Lagunaria patersonii,Primrose Tree,2010,Exotic
79482,37.75189685,-122.4655568,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
79354,37.75118139,-122.4655071,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94915,37.75237788,-122.4653417,Private,Acacia melanoxylon,Blackwood Acacia,2010,Exotic
94713,37.78151465,-122.4653084,Private,Platanus x hispanica,Sycamore: London Plane,2010,Exotic
52956,37.71929383,-122.4652639,Private,Magnolia grandiflora 'Russet',Russet Magnolia,2010,Exotic
52671,37.76530218,-122.4652399,Private,Magnolia grandiflora 'Samuel Sommer',Samuel Sommer Magnolia,2010,Exotic
50802,37.77829549,-122.4652367,Private,Pyrus kawakamii,Evergreen Pear,2010,Exotic
54408,37.7645785,-122.4651894,Private,Platanus x hispanica 'Columbia',Columbia Hybrid Plane Tree,2010,Exotic
94833,37.76574993,-122.4651837,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
92496,37.76467812,-122.4651477,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94834,37.76492486,-122.4651442,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
87045,37.77473921,-122.4650412,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
87047,37.77473921,-122.4650412,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
87048,37.77473921,-122.4650412,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
87046,37.77438885,-122.464964,Private,Melaleuca ericifolia,Heath Melaleuca,2010,Exotic
94157,37.7593345,-122.464751,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94712,37.78625178,-122.4647471,Private,Lagunaria patersonii,Primrose Tree,2010,Exotic
94158,37.75925878,-122.4647456,Private,Tilia cordata,Littleleaf Linden,2010,Exotic
94165,37.75655866,-122.4647209,Private,Crataegus phaenopyrum,Washington Hawthorn,2010,Exotic
94167,37.75655866,-122.4647209,Private,Crataegus phaenopyrum,Washington Hawthorn,2010,Exotic
94159,37.75413423,-122.4646862,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
93107,37.747754,-122.4646295,Private,Cupressus macrocarpa,Monterey Cypress,2010,Exotic
95097,37.74528655,-122.4646207,Private,Crataegus phaenopyrum,Washington Hawthorn,2010,Exotic
95098,37.74528655,-122.4646207,Private,Crataegus phaenopyrum,Washington Hawthorn,2010,Exotic
94790,37.75129678,-122.4644627,Private,Acer rubrum,Red Maple,2010,Exotic
54727,37.76520474,-122.4643366,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
19321,37.71797127,-122.4639835,Department of Public Works,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94829,37.75996094,-122.4629463,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
94830,37.7598896,-122.4629413,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
94831,37.75982512,-122.4629368,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
50519,37.77624545,-122.462788,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
